Ap1,Ap2,Ap6,Ap7,Ap9,Ap11,Ap12,Ap13,Ap14,Ap15,Ap19,Ap20,Ap23,Ap24,Ap25,Ap26,Ap27,Ap29,Ap31,Ap33,Ap34,Ap36,Ap40,Ap41,Ap42,Ap46,Ap47,Ap48,Ap49,Ap50,Ap51,Ap53,Ap54,Ap55,Ap59,Ap60,Ap61,Ap66,Ap70,Ap74,Ap78,Ap80,Ap86,Ap94,Ap95,Ap96,Ap110,Ap115,Ap118,Ap122,Ap127,Ap137,zona
-100.0,-100.0,-84.0,-89.0,-66.0,-88.0,-69.0,-74.0,-83.0,-74.0,-100.0,-87.0,-74.0,-100.0,-82.0,-100.0,-87.0,-100.0,-100.0,-100.0,-86.0,-89.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-100.0,-100.0,-84.0,-89.0,-66.0,-88.0,-69.0,-74.0,-83.0,-74.0,-100.0,-87.0,-74.0,-100.0,-82.0,-100.0,-87.0,-100.0,-100.0,-100.0,-86.0,-89.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-100.0,-100.0,-84.0,-89.0,-66.0,-88.0,-69.0,-74.0,-83.0,-74.0,-100.0,-87.0,-74.0,-100.0,-82.0,-100.0,-87.0,-100.0,-100.0,-100.0,-86.0,-89.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-100.0,-89.0,-85.0,-86.0,-81.0,-87.0,-100.0,-80.0,-78.0,-74.0,-81.0,-85.0,-80.0,-100.0,-79.0,-83.0,-82.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-86.0,-100.0,-77.0,-81.0,-80.0,-79.0,-79.0,-73.0,-83.0,-84.0,-79.0,-100.0,-81.0,-85.0,-85.0,-90.0,-100.0,-100.0,-88.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-89.0,-88.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-86.0,-100.0,-77.0,-81.0,-80.0,-79.0,-79.0,-73.0,-83.0,-84.0,-79.0,-100.0,-81.0,-85.0,-85.0,-90.0,-100.0,-100.0,-88.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-89.0,-88.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-86.0,-100.0,-77.0,-81.0,-80.0,-79.0,-79.0,-73.0,-83.0,-84.0,-79.0,-100.0,-81.0,-85.0,-85.0,-90.0,-100.0,-100.0,-88.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-89.0,-88.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-86.0,-100.0,-76.0,-90.0,-100.0,-77.0,-81.0,-73.0,-76.0,-79.0,-77.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-100.0,-100.0,-86.0,-100.0,-77.0,-81.0,-80.0,-79.0,-79.0,-73.0,-83.0,-84.0,-79.0,-100.0,-81.0,-85.0,-85.0,-90.0,-100.0,-100.0,-88.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-89.0,-88.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-100.0,-89.0,-85.0,-86.0,-81.0,-87.0,-100.0,-80.0,-78.0,-74.0,-81.0,-85.0,-80.0,-100.0,-79.0,-83.0,-82.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-100.0,-87.0,-81.0,-84.0,-79.0,-100.0,-100.0,-78.0,-78.0,-72.0,-85.0,-80.0,-79.0,-100.0,-79.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,-90.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-100.0,-87.0,-81.0,-84.0,-79.0,-100.0,-100.0,-78.0,-78.0,-72.0,-85.0,-80.0,-79.0,-100.0,-79.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,-90.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-100.0,-87.0,-81.0,-84.0,-79.0,-100.0,-100.0,-78.0,-78.0,-72.0,-85.0,-80.0,-79.0,-100.0,-79.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,-90.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-100.0,-87.0,-81.0,-84.0,-79.0,-100.0,-100.0,-78.0,-78.0,-72.0,-85.0,-80.0,-79.0,-100.0,-79.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,-90.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,10
-100.0,-87.0,-81.0,-84.0,-79.0,-100.0,-100.0,-78.0,-78.0,-72.0,-85.0,-80.0,-79.0,-100.0,-79.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,-90.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
-100.0,-87.0,-81.0,-84.0,-79.0,-100.0,-100.0,-78.0,-78.0,-72.0,-85.0,-80.0,-79.0,-100.0,-79.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,-90.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
-100.0,-87.0,-81.0,-84.0,-79.0,-100.0,-100.0,-78.0,-78.0,-72.0,-85.0,-80.0,-79.0,-100.0,-79.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,-90.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
-100.0,-87.0,-81.0,-84.0,-79.0,-100.0,-100.0,-78.0,-78.0,-72.0,-85.0,-80.0,-79.0,-100.0,-79.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,-90.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,11
