Ap1,Ap3,Ap4,Ap5,Ap6,Ap8,Ap11,Ap12,Ap13,Ap14,Ap16,Ap19,Ap22,Ap23,Ap24,Ap27,Ap29,Ap34,Ap35,Ap38,Ap39,Ap41,Ap43,Ap45,Ap48,Ap49,Ap50,Ap56,Ap60,Ap66,Ap70,Ap74,Ap76,Ap78,Ap79,Ap85,Ap87,Ap93,Ap102,Ap104,Ap110,Ap112,Ap114,Ap117,Ap120,Ap122,Ap129,Ap131,Ap132,zona
-100.0,-75.0,-84.0,-76.0,-85.0,-77.0,-72.0,-88.0,-85.0,-70.0,-78.0,-79.0,-83.0,-90.0,-78.0,-100.0,-100.0,-85.0,-87.0,-100.0,-100.0,-85.0,-100.0,-87.0,-100.0,-89.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,80.0
-100.0,-73.0,-85.0,-73.0,-100.0,-100.0,-77.0,-85.0,-80.0,-70.0,-84.0,-76.0,-100.0,-89.0,-76.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-87.0,-100.0,-87.0,-76.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-72.0,-85.0,-73.0,-100.0,-100.0,-76.0,-85.0,-80.0,-68.0,-82.0,-75.0,-100.0,-89.0,-75.0,-100.0,-100.0,-79.0,-85.0,-100.0,-100.0,-85.0,-100.0,-87.0,-78.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-68.0,-85.0,-72.0,-83.0,-71.0,-76.0,-84.0,-80.0,-70.0,-82.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-79.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-78.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,81.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,82.0
-91.0,-66.0,-85.0,-72.0,-81.0,-71.0,-76.0,-88.0,-80.0,-72.0,-83.0,-75.0,-100.0,-87.0,-75.0,-100.0,-100.0,-81.0,-85.0,-100.0,-100.0,-85.0,-100.0,-85.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,83.0
-100.0,-81.0,-87.0,-64.0,-78.0,-100.0,-81.0,-100.0,-85.0,-68.0,-82.0,-84.0,-100.0,-100.0,-85.0,-100.0,-100.0,-80.0,-84.0,-100.0,-100.0,-82.0,-100.0,-84.0,-80.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,83.0
-100.0,-81.0,-87.0,-64.0,-78.0,-100.0,-81.0,-100.0,-85.0,-68.0,-82.0,-84.0,-100.0,-100.0,-85.0,-100.0,-100.0,-80.0,-84.0,-100.0,-100.0,-82.0,-100.0,-84.0,-80.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,83.0
-100.0,-81.0,-87.0,-64.0,-78.0,-100.0,-81.0,-100.0,-84.0,-67.0,-82.0,-83.0,-100.0,-100.0,-83.0,-100.0,-100.0,-80.0,-84.0,-100.0,-100.0,-82.0,-100.0,-84.0,-77.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,83.0
-100.0,-81.0,-87.0,-64.0,-78.0,-100.0,-81.0,-100.0,-84.0,-67.0,-82.0,-83.0,-100.0,-100.0,-83.0,-100.0,-100.0,-80.0,-84.0,-100.0,-100.0,-82.0,-100.0,-84.0,-77.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,83.0
-100.0,-79.0,-87.0,-64.0,-79.0,-77.0,-80.0,-100.0,-80.0,-67.0,-80.0,-83.0,-100.0,-100.0,-83.0,-100.0,-100.0,-80.0,-82.0,-100.0,-100.0,-82.0,-100.0,-84.0,-79.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,83.0
-100.0,-79.0,-87.0,-64.0,-79.0,-77.0,-80.0,-100.0,-80.0,-67.0,-80.0,-83.0,-100.0,-100.0,-83.0,-100.0,-100.0,-80.0,-82.0,-100.0,-100.0,-82.0,-100.0,-84.0,-79.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,83.0
-100.0,-75.0,-82.0,-64.0,-79.0,-77.0,-79.0,-100.0,-80.0,-71.0,-77.0,-81.0,-92.0,-100.0,-81.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-83.0,-100.0,-87.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,83.0
-100.0,-75.0,-82.0,-64.0,-79.0,-77.0,-79.0,-100.0,-80.0,-71.0,-77.0,-81.0,-92.0,-100.0,-81.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-83.0,-100.0,-87.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,83.0
-100.0,-75.0,-82.0,-64.0,-79.0,-77.0,-79.0,-100.0,-80.0,-71.0,-77.0,-81.0,-92.0,-100.0,-81.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-83.0,-100.0,-87.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-75.0,-82.0,-64.0,-79.0,-77.0,-79.0,-100.0,-80.0,-71.0,-77.0,-81.0,-92.0,-100.0,-81.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-83.0,-100.0,-87.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-75.0,-82.0,-64.0,-79.0,-77.0,-79.0,-100.0,-80.0,-71.0,-77.0,-81.0,-92.0,-100.0,-81.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-83.0,-100.0,-87.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-75.0,-82.0,-64.0,-79.0,-77.0,-79.0,-100.0,-80.0,-71.0,-77.0,-81.0,-92.0,-100.0,-81.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-83.0,-100.0,-87.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-75.0,-82.0,-64.0,-79.0,-77.0,-79.0,-100.0,-80.0,-71.0,-77.0,-81.0,-92.0,-100.0,-81.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-83.0,-100.0,-87.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-75.0,-82.0,-64.0,-79.0,-77.0,-79.0,-100.0,-80.0,-71.0,-77.0,-81.0,-92.0,-100.0,-81.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-83.0,-100.0,-87.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-75.0,-82.0,-64.0,-79.0,-77.0,-79.0,-100.0,-80.0,-71.0,-77.0,-81.0,-92.0,-100.0,-81.0,-100.0,-100.0,-81.0,-86.0,-100.0,-100.0,-83.0,-100.0,-87.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-76.0,-79.0,-67.0,-78.0,-76.0,-74.0,-94.0,-86.0,-73.0,-81.0,-81.0,-100.0,-100.0,-81.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-83.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-80.0,-79.0,-63.0,-78.0,-72.0,-77.0,-94.0,-86.0,-67.0,-82.0,-75.0,-100.0,-100.0,-75.0,-100.0,-100.0,-79.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,-75.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-100.0,-81.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-76.0,-85.0,-59.0,-76.0,-66.0,-77.0,-94.0,-85.0,-75.0,-82.0,-79.0,-100.0,-100.0,-78.0,-100.0,-100.0,-74.0,-89.0,-100.0,-100.0,-81.0,-100.0,-88.0,-75.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,84.0
-100.0,-77.0,-85.0,-59.0,-74.0,-66.0,-76.0,-91.0,-85.0,-74.0,-83.0,-75.0,-100.0,-100.0,-73.0,-100.0,-100.0,-74.0,-89.0,-100.0,-100.0,-81.0,-100.0,-87.0,-76.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-77.0,-85.0,-59.0,-74.0,-66.0,-76.0,-91.0,-85.0,-74.0,-83.0,-75.0,-100.0,-100.0,-73.0,-100.0,-100.0,-74.0,-89.0,-100.0,-100.0,-81.0,-100.0,-87.0,-76.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-77.0,-85.0,-59.0,-74.0,-66.0,-76.0,-91.0,-85.0,-74.0,-83.0,-75.0,-100.0,-100.0,-73.0,-100.0,-100.0,-74.0,-89.0,-100.0,-100.0,-81.0,-100.0,-87.0,-76.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-77.0,-85.0,-59.0,-74.0,-66.0,-76.0,-91.0,-85.0,-74.0,-83.0,-75.0,-100.0,-100.0,-73.0,-100.0,-100.0,-74.0,-89.0,-100.0,-100.0,-81.0,-100.0,-87.0,-76.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-77.0,-85.0,-59.0,-74.0,-66.0,-76.0,-91.0,-85.0,-74.0,-83.0,-75.0,-100.0,-100.0,-73.0,-100.0,-100.0,-74.0,-89.0,-100.0,-100.0,-81.0,-100.0,-87.0,-76.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-77.0,-85.0,-59.0,-74.0,-66.0,-76.0,-91.0,-85.0,-74.0,-83.0,-75.0,-100.0,-100.0,-73.0,-100.0,-100.0,-74.0,-89.0,-100.0,-100.0,-81.0,-100.0,-87.0,-76.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-77.0,-85.0,-59.0,-74.0,-66.0,-76.0,-91.0,-85.0,-74.0,-83.0,-75.0,-100.0,-100.0,-73.0,-100.0,-100.0,-74.0,-89.0,-100.0,-100.0,-81.0,-100.0,-87.0,-76.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-77.0,-85.0,-59.0,-74.0,-66.0,-76.0,-91.0,-85.0,-74.0,-83.0,-75.0,-100.0,-100.0,-73.0,-100.0,-100.0,-74.0,-89.0,-100.0,-100.0,-81.0,-100.0,-87.0,-76.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-81.0,-66.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-75.0,-78.0,-55.0,-75.0,-75.0,-73.0,-100.0,-86.0,-66.0,-84.0,-75.0,-100.0,-100.0,-76.0,-100.0,-100.0,-76.0,-82.0,-100.0,-100.0,-88.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-75.0,-78.0,-55.0,-75.0,-75.0,-73.0,-100.0,-86.0,-66.0,-84.0,-75.0,-100.0,-100.0,-76.0,-100.0,-100.0,-76.0,-82.0,-100.0,-100.0,-88.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-77.0,-83.0,-61.0,-79.0,-71.0,-74.0,-100.0,-86.0,-72.0,-84.0,-76.0,-100.0,-100.0,-76.0,-100.0,-100.0,-80.0,-83.0,-100.0,-100.0,-88.0,-100.0,-84.0,-83.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-77.0,-83.0,-61.0,-79.0,-71.0,-74.0,-100.0,-86.0,-72.0,-84.0,-76.0,-100.0,-100.0,-76.0,-100.0,-100.0,-80.0,-83.0,-100.0,-100.0,-88.0,-100.0,-84.0,-83.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-87.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
-100.0,-78.0,-82.0,-57.0,-76.0,-67.0,-78.0,-100.0,-82.0,-71.0,-81.0,-77.0,-100.0,-100.0,-77.0,-100.0,-100.0,-76.0,-81.0,-100.0,-100.0,-82.0,-100.0,-82.0,-79.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-87.0,-75.0,-100.0,-82.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,85.0
